time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.84085,0.05915,0.06585,0.03415
2.0,0.7944,0.08895,0.07365,0.043
3.0,0.7447,0.11235,0.0899,0.05305
4.0,0.68785,0.13695,0.11005,0.06515
5.0,0.6243,0.1637,0.13165,0.08035
6.0,0.55725,0.18605,0.1584,0.0983
7.0,0.4859,0.20495,0.1888,0.12035
8.0,0.41555,0.21625,0.2231,0.1451
9.0,0.34685,0.22505,0.2527,0.1754
10.0,0.2802,0.22915,0.28265,0.208
11.0,0.2224,0.22195,0.3096,0.24605
12.0,0.17475,0.20595,0.3331,0.2862
13.0,0.13575,0.18895,0.34585,0.32945
14.0,0.102,0.1684,0.3551,0.3745
15.0,0.0789,0.14455,0.3564,0.42015
16.0,0.0607,0.12125,0.34925,0.4688
17.0,0.04655,0.1031,0.3363,0.51405
18.0,0.03855,0.0829,0.32055,0.558
19.0,0.03175,0.06855,0.30035,0.59935
20.0,0.02715,0.05505,0.27855,0.63925
21.0,0.02395,0.0451,0.25505,0.6759
22.0,0.0209,0.0359,0.2338,0.7094
23.0,0.01995,0.0284,0.2115,0.74015
24.0,0.01965,0.0227,0.1911,0.76655
25.0,0.0193,0.0191,0.1715,0.7901
26.0,0.01955,0.0156,0.15415,0.8107
27.0,0.0204,0.0135,0.13825,0.82785
28.0,0.02195,0.01025,0.12315,0.84465
29.0,0.02385,0.008,0.1082,0.85995
30.0,0.0246,0.0078,0.0948,0.8728
31.0,0.02635,0.00655,0.08505,0.88205
32.0,0.02735,0.0061,0.07495,0.8916
33.0,0.02855,0.00485,0.06715,0.89945
34.0,0.03085,0.00395,0.05925,0.90595
35.0,0.03315,0.0037,0.05325,0.9099
36.0,0.0351,0.0038,0.0468,0.9143
37.0,0.0373,0.0039,0.0407,0.9181
38.0,0.04,0.0034,0.03555,0.92105
39.0,0.04285,0.00315,0.0315,0.9225
40.0,0.0461,0.00325,0.0274,0.92325
41.0,0.0487,0.00355,0.02475,0.923
42.0,0.05155,0.0035,0.022,0.92295
43.0,0.0538,0.00315,0.01975,0.9233
44.0,0.05615,0.0033,0.0178,0.92275
45.0,0.05905,0.00295,0.01595,0.92205
46.0,0.06125,0.00285,0.0144,0.9215
47.0,0.06415,0.00245,0.01345,0.91995
48.0,0.06725,0.0024,0.0117,0.91865
