time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.9,0.0,0.1,0.0
1.0,0.2508,0.6492,0.0632,0.0368
2.0,0.06905,0.6474,0.2389,0.04465
3.0,0.01855,0.51245,0.39315,0.07585
4.0,0.00505,0.3795,0.48535,0.1301
5.0,0.00195,0.2755,0.52755,0.195
6.0,0.00115,0.19395,0.53825,0.26665
7.0,0.00085,0.1406,0.52355,0.335
8.0,0.00125,0.1028,0.4943,0.40165
9.0,0.00155,0.07415,0.45835,0.46595
10.0,0.00205,0.0522,0.41885,0.5269
11.0,0.00155,0.03765,0.3774,0.5834
12.0,0.00215,0.0283,0.33695,0.6326
13.0,0.0023,0.0219,0.301,0.6748
14.0,0.00295,0.01665,0.26755,0.71285
15.0,0.00295,0.0129,0.23935,0.7448
16.0,0.00365,0.0108,0.21115,0.7744
17.0,0.0033,0.0102,0.1868,0.7997
18.0,0.00385,0.01005,0.1648,0.8213
19.0,0.0042,0.0095,0.1436,0.8427
20.0,0.0044,0.0092,0.12695,0.85945
21.0,0.00415,0.00885,0.11235,0.87465
22.0,0.0046,0.0088,0.0989,0.8877
23.0,0.00515,0.0088,0.0878,0.89825
24.0,0.00555,0.0094,0.07985,0.9052
25.0,0.004,0.01055,0.07125,0.9142
26.0,0.0054,0.0104,0.06395,0.92025
27.0,0.00545,0.01055,0.05865,0.92535
28.0,0.0061,0.0113,0.0532,0.9294
29.0,0.00615,0.012,0.0486,0.93325
30.0,0.0067,0.01265,0.04365,0.937
31.0,0.0059,0.01285,0.04265,0.9386
32.0,0.0056,0.0136,0.03935,0.94145
33.0,0.0053,0.01225,0.0378,0.94465
34.0,0.00625,0.0125,0.0359,0.94535
35.0,0.00515,0.01375,0.0338,0.9473
36.0,0.0068,0.0128,0.03335,0.94705
37.0,0.00645,0.01405,0.03145,0.94805
38.0,0.0067,0.01475,0.03145,0.9471
39.0,0.00625,0.0139,0.03155,0.9483
40.0,0.0074,0.014,0.0303,0.9483
41.0,0.0055,0.0149,0.03,0.9496
42.0,0.00665,0.0127,0.0315,0.94915
43.0,0.0068,0.0134,0.03095,0.94885
44.0,0.0059,0.01415,0.02975,0.9502
45.0,0.0066,0.0129,0.03015,0.95035
46.0,0.0077,0.01345,0.02955,0.9493
47.0,0.0072,0.01435,0.0291,0.94935
48.0,0.00875,0.01525,0.02875,0.94725
49.0,0.0082,0.0171,0.02735,0.94735
50.0,0.0084,0.01765,0.0277,0.94625
